court_id,date,time,court,status,reservation_link,is_available
2,2025-07-30,6:00 a.m.,Court 10,Not Available,,False
2,2025-07-30,6:00 a.m.,Court 9,Not Available,,False
2,2025-07-30,7:00 a.m.,Court 10,Not Available,,False
2,2025-07-30,7:00 a.m.,Court 9,Not Available,,False
2,2025-07-30,8:00 a.m.,Court 10,Not Available,,False
2,2025-07-30,8:00 a.m.,Court 9,Not Available,,False
2,2025-07-30,9:00 a.m.,Court 10,Booked,,False
2,2025-07-30,9:00 a.m.,Court 9,Booked,,False
2,2025-07-30,10:00 a.m.,Court 10,Booked,,False
2,2025-07-30,10:00 a.m.,Court 9,Booked,,False
2,2025-07-30,11:00 a.m.,Court 10,Booked,,False
2,2025-07-30,11:00 a.m.,Court 9,Booked,,False
2,2025-07-30,12:00 p.m.,Court 10,Reserve this time,https://www.nycgovparks.org/tennisreservation/reserve/652868,False
2,2025-07-30,12:00 p.m.,Court 9,Reserve this time,https://www.nycgovparks.org/tennisreservation/reserve/652867,False
2,2025-07-30,1:00 p.m.,Court 10,Reserve this time,https://www.nycgovparks.org/tennisreservation/reserve/652870,False
2,2025-07-30,1:00 p.m.,Court 9,Reserve this time,https://www.nycgovparks.org/tennisreservation/reserve/652869,False
2,2025-07-30,2:00 p.m.,Court 10,Reserve this time,https://www.nycgovparks.org/tennisreservation/reserve/652872,False
2,2025-07-30,2:00 p.m.,Court 9,Reserve this time,https://www.nycgovparks.org/tennisreservation/reserve/652871,False
2,2025-07-30,3:00 p.m.,Court 10,Reserve this time,https://www.nycgovparks.org/tennisreservation/reserve/652874,False
2,2025-07-30,3:00 p.m.,Court 9,Reserve this time,https://www.nycgovparks.org/tennisreservation/reserve/652873,False
2,2025-07-30,4:00 p.m.,Court 10,Booked,,False
2,2025-07-30,4:00 p.m.,Court 9,Booked,,False
2,2025-07-30,5:00 p.m.,Court 10,Booked,,False
2,2025-07-30,5:00 p.m.,Court 9,Booked,,False
2,2025-07-30,6:00 p.m.,Court 10,Booked,,False
2,2025-07-30,6:00 p.m.,Court 9,Booked,,False
2,2025-07-30,7:00 p.m.,Court 10,Booked,,False
2,2025-07-30,7:00 p.m.,Court 9,Booked,,False
2,2025-07-30,8:00 p.m.,Court 10,Not Available,,False
2,2025-07-30,8:00 p.m.,Court 9,Not Available,,False
2,2025-07-30,9:00 p.m.,Court 10,Not Available,,False
2,2025-07-30,9:00 p.m.,Court 9,Not Available,,False
2,2025-07-30,10:00 p.m.,Court 10,Not Available,,False
2,2025-07-30,10:00 p.m.,Court 9,Not Available,,False
2,2025-07-31,6:00 a.m.,Court 10,Not Available,,False
2,2025-07-31,6:00 a.m.,Court 9,Not Available,,False
2,2025-07-31,7:00 a.m.,Court 10,Not Available,,False
2,2025-07-31,7:00 a.m.,Court 9,Not Available,,False
2,2025-07-31,8:00 a.m.,Court 10,Not Available,,False
2,2025-07-31,8:00 a.m.,Court 9,Not Available,,False
2,2025-07-31,9:00 a.m.,Court 10,Booked,,False
2,2025-07-31,9:00 a.m.,Court 9,Booked,,False
2,2025-07-31,10:00 a.m.,Court 10,Booked,,False
2,2025-07-31,10:00 a.m.,Court 9,Booked,,False
2,2025-07-31,11:00 a.m.,Court 10,Reserve this time,https://www.nycgovparks.org/tennisreservation/reserve/652888,False
2,2025-07-31,11:00 a.m.,Court 9,Reserve this time,https://www.nycgovparks.org/tennisreservation/reserve/652887,False
2,2025-07-31,12:00 p.m.,Court 10,Reserve this time,https://www.nycgovparks.org/tennisreservation/reserve/652890,False
2,2025-07-31,12:00 p.m.,Court 9,Reserve this time,https://www.nycgovparks.org/tennisreservation/reserve/652889,False
