time,court,status,reservation_link,court_id,date
6:00 a.m.,Court 10,Not available,,2,2025-08-12
6:00 a.m.,Court 9,Not available,,2,2025-08-12
7:00 a.m.,Court 10,Not available,,2,2025-08-12
7:00 a.m.,Court 9,Not available,,2,2025-08-12
8:00 a.m.,Court 10,Not available,,2,2025-08-12
8:00 a.m.,Court 9,Not available,,2,2025-08-12
9:00 a.m.,Court 10,Not available,,2,2025-08-12
9:00 a.m.,Court 9,Not available,,2,2025-08-12
10:00 a.m.,Court 10,Not available,,2,2025-08-12
10:00 a.m.,Court 9,Not available,,2,2025-08-12
11:00 a.m.,Court 10,Not available,,2,2025-08-12
11:00 a.m.,Court 9,Not available,,2,2025-08-12
12:00 p.m.,Court 10,Reserve this time,,2,2025-08-12
12:00 p.m.,Court 9,Not available,,2,2025-08-12
1:00 p.m.,Court 10,Reserve this time,,2,2025-08-12
1:00 p.m.,Court 9,Not available,,2,2025-08-12
2:00 p.m.,Court 10,Reserve this time,,2,2025-08-12
2:00 p.m.,Court 9,Reserve this time,,2,2025-08-12
3:00 p.m.,Court 10,Reserve this time,,2,2025-08-12
3:00 p.m.,Court 9,Reserve this time,,2,2025-08-12
4:00 p.m.,Court 10,Not available,,2,2025-08-12
4:00 p.m.,Court 9,Reserve this time,,2,2025-08-12
5:00 p.m.,Court 10,Not available,,2,2025-08-12
5:00 p.m.,Court 9,Not available,,2,2025-08-12
6:00 p.m.,Court 10,Not available,,2,2025-08-12
6:00 p.m.,Court 9,Not available,,2,2025-08-12
7:00 p.m.,Court 10,Not available,,2,2025-08-12
7:00 p.m.,Court 9,Not available,,2,2025-08-12
8:00 p.m.,Court 10,Not available,,2,2025-08-12
8:00 p.m.,Court 9,Not available,,2,2025-08-12
9:00 p.m.,Court 10,Not available,,2,2025-08-12
9:00 p.m.,Court 9,Not available,,2,2025-08-12
10:00 p.m.,Court 10,Not available,,2,2025-08-12
10:00 p.m.,Court 9,Not available,,2,2025-08-12
6:00 a.m.,Court 10,Not available,,2,2025-08-13
6:00 a.m.,Court 9,Not available,,2,2025-08-13
7:00 a.m.,Court 10,Not available,,2,2025-08-13
7:00 a.m.,Court 9,Not available,,2,2025-08-13
8:00 a.m.,Court 10,Not available,,2,2025-08-13
8:00 a.m.,Court 9,Not available,,2,2025-08-13
9:00 a.m.,Court 10,Not available,,2,2025-08-13
9:00 a.m.,Court 9,Not available,,2,2025-08-13
10:00 a.m.,Court 10,Not available,,2,2025-08-13
10:00 a.m.,Court 9,Not available,,2,2025-08-13
11:00 a.m.,Court 10,Reserve this time,,2,2025-08-13
11:00 a.m.,Court 9,Not available,,2,2025-08-13
12:00 p.m.,Court 10,Reserve this time,,2,2025-08-13
12:00 p.m.,Court 9,Reserve this time,,2,2025-08-13
1:00 p.m.,Court 10,Reserve this time,,2,2025-08-13
1:00 p.m.,Court 9,Reserve this time,,2,2025-08-13
2:00 p.m.,Court 10,Reserve this time,,2,2025-08-13
2:00 p.m.,Court 9,Reserve this time,,2,2025-08-13
3:00 p.m.,Court 10,Reserve this time,,2,2025-08-13
3:00 p.m.,Court 9,Reserve this time,,2,2025-08-13
4:00 p.m.,Court 10,Not available,,2,2025-08-13
4:00 p.m.,Court 9,Not available,,2,2025-08-13
5:00 p.m.,Court 10,Not available,,2,2025-08-13
5:00 p.m.,Court 9,Not available,,2,2025-08-13
6:00 p.m.,Court 10,Not available,,2,2025-08-13
6:00 p.m.,Court 9,Not available,,2,2025-08-13
7:00 p.m.,Court 10,Not available,,2,2025-08-13
7:00 p.m.,Court 9,Not available,,2,2025-08-13
8:00 p.m.,Court 10,Not available,,2,2025-08-13
8:00 p.m.,Court 9,Not available,,2,2025-08-13
9:00 p.m.,Court 10,Not available,,2,2025-08-13
9:00 p.m.,Court 9,Not available,,2,2025-08-13
10:00 p.m.,Court 10,Not available,,2,2025-08-13
10:00 p.m.,Court 9,Not available,,2,2025-08-13
6:00 a.m.,Court 10,Not available,,2,2025-08-14
6:00 a.m.,Court 9,Not available,,2,2025-08-14
7:00 a.m.,Court 10,Not available,,2,2025-08-14
7:00 a.m.,Court 9,Not available,,2,2025-08-14
8:00 a.m.,Court 10,Not available,,2,2025-08-14
8:00 a.m.,Court 9,Not available,,2,2025-08-14
9:00 a.m.,Court 10,Not available,,2,2025-08-14
9:00 a.m.,Court 9,Not available,,2,2025-08-14
10:00 a.m.,Court 10,Reserve this time,,2,2025-08-14
10:00 a.m.,Court 9,Reserve this time,,2,2025-08-14
11:00 a.m.,Court 10,Reserve this time,,2,2025-08-14
11:00 a.m.,Court 9,Reserve this time,,2,2025-08-14
12:00 p.m.,Court 10,Not available,,2,2025-08-14
12:00 p.m.,Court 9,Reserve this time,,2,2025-08-14
1:00 p.m.,Court 10,Reserve this time,,2,2025-08-14
1:00 p.m.,Court 9,Reserve this time,,2,2025-08-14
2:00 p.m.,Court 10,Reserve this time,,2,2025-08-14
2:00 p.m.,Court 9,Reserve this time,,2,2025-08-14
3:00 p.m.,Court 10,Reserve this time,,2,2025-08-14
3:00 p.m.,Court 9,Reserve this time,,2,2025-08-14
4:00 p.m.,Court 10,Not available,,2,2025-08-14
4:00 p.m.,Court 9,Not available,,2,2025-08-14
5:00 p.m.,Court 10,Not available,,2,2025-08-14
5:00 p.m.,Court 9,Not available,,2,2025-08-14
6:00 p.m.,Court 10,Not available,,2,2025-08-14
6:00 p.m.,Court 9,Not available,,2,2025-08-14
7:00 p.m.,Court 10,Not available,,2,2025-08-14
7:00 p.m.,Court 9,Not available,,2,2025-08-14
8:00 p.m.,Court 10,Not available,,2,2025-08-14
8:00 p.m.,Court 9,Not available,,2,2025-08-14
9:00 p.m.,Court 10,Not available,,2,2025-08-14
9:00 p.m.,Court 9,Not available,,2,2025-08-14
10:00 p.m.,Court 10,Not available,,2,2025-08-14
10:00 p.m.,Court 9,Not available,,2,2025-08-14
6:00 a.m.,Court 10,Not available,,2,2025-08-15
6:00 a.m.,Court 9,Not available,,2,2025-08-15
7:00 a.m.,Court 10,Not available,,2,2025-08-15
7:00 a.m.,Court 9,Not available,,2,2025-08-15
8:00 a.m.,Court 10,Not available,,2,2025-08-15
8:00 a.m.,Court 9,Not available,,2,2025-08-15
9:00 a.m.,Court 10,Not available,,2,2025-08-15
